Cluster,uplift_score,cluster
3,0.7911506091704477,3
1,0.8080702006739102,1
3,0.8456883995671225,3
1,0.8683515473201633,1
1,0.7968881216029668,1
1,0.8989227719098438,1
2,0.8028724174425759,2
1,0.8964867063571353,1
1,0.8184841415101267,1
1,0.8552698834097432,1
0,0.771572847440112,0
1,0.8060231798724149,1
3,0.7607513790745448,3
1,0.8166497579961232,1
3,0.8653652827502496,3
1,0.7726643515550498,1
2,0.7667103263432782,2
1,0.8097619630178554,1
1,0.8976301118699124,1
3,0.8031404888922133,3
1,0.8879506360742868,1
2,0.7632311015875246,2
1,0.8678798325553156,1
1,0.8605576681429092,1
1,0.8751654766350163,1
1,0.7696013359023075,1
1,0.7764360715104468,1
0,0.7497752899374865,0
3,0.8159153256271774,3
3,0.8815845832681677,3
3,0.8444660689718573,3
1,0.7763069604734134,1
1,0.8691869643760244,1
2,0.7856671229203345,2
3,0.8451328212377502,3
2,0.798049902494234,2
1,0.825980060980473,1
3,0.8534634242922241,3
0,0.7532845683166365,0
1,0.8603315188831184,1
2,0.8013317127746011,2
1,0.8830839527755407,1
3,0.8330667382113484,3
3,0.8041359722314838,3
1,0.8092430641594504,1
1,0.7830995726271663,1
3,0.845706235028943,3
3,0.857250078847339,3
0,0.7482867949695544,0
3,0.8756562969743558,3
1,0.7972446289840547,1
3,0.8558236588644235,3
1,0.8525472739040216,1
1,0.865201543851795,1
2,0.7713173685168941,2
1,0.8611107057565182,1
3,0.8642185496184638,3
3,0.7870963225190528,3
0,0.7849642649109547,0
3,0.769170823211208,3
3,0.7689060680978941,3
1,0.7858230472550027,1
1,0.7763937268617085,1
1,0.824005311647442,1
3,0.8858437620363468,3
1,0.834159304773813,1
3,0.8963280214002465,3
1,0.8627547957335602,1
3,0.8171336536935658,3
1,0.8534692834699067,1
3,0.8443195569686737,3
0,0.806296640477195,0
1,0.8572898776188946,1
3,0.8967882858534078,3
3,0.8930362141843002,3
3,0.8890340261416481,3
3,0.8796560323712859,3
3,0.8099544536890935,3
3,0.8319393390454826,3
3,0.8271775397515766,3
2,0.7491152522419966,2
1,0.8663906114972477,1
3,0.7970075403968391,3
2,0.7800572773439007,2
1,0.8478762032857636,1
3,0.849529228851591,3
3,0.872387421979584,3
1,0.8796055668633938,1
1,0.8921461956023267,1
1,0.8468298749861938,1
3,0.888873210664338,3
3,0.8093070053768436,3
1,0.8343529610682798,1
3,0.8019879090538513,3
1,0.8108725336958744,1
1,0.880534790132544,1
2,0.810595211449747,2
1,0.8504179756093904,1
1,0.8277761648731137,1
1,0.8927753811065569,1
1,0.8947213817502901,1
1,0.8864795969235519,1
3,0.830022740396303,3
3,0.8329362314726843,3
1,0.8360591485072504,1
0,0.7905455911666757,0
0,0.7527537791111412,0
1,0.9025242709306307,1
3,0.7788321055720249,3
1,0.869503448232358,1
3,0.7925852663643236,3
2,0.776052826038796,2
3,0.7980373049604623,3
1,0.8241180444621272,1
3,0.8127386240660099,3
1,0.7519804255954248,1
1,0.7606502877700236,1
1,0.8683566760486763,1
1,0.793960255491079,1
2,0.7717232703521553,2
1,0.807760068032779,1
1,0.8971722313036734,1
2,0.783430913977903,2
0,0.8353537985041126,0
3,0.8995478464458966,3
3,0.8603251097229614,3
3,0.8918429542289008,3
3,0.798016545091206,3
1,0.8992830982228843,1
3,0.8139910575529621,3
1,0.8662310052055477,1
1,0.8793210584202533,1
3,0.8501340951226306,3
1,0.8389878766709498,1
1,0.8421812813745257,1
1,0.8618526475049086,1
2,0.7661879401129077,2
1,0.8911255450489068,1
1,0.8633184000902276,1
3,0.8494870636126146,3
1,0.8324963186356822,1
2,0.7784785536518268,2
0,0.7809629827905598,0
1,0.8476581970723658,1
1,0.9025391691806199,1
1,0.897984948626644,1
2,0.7504398051546135,2
3,0.7935114385981936,3
1,0.8065713529316534,1
1,0.8691989339105921,1
